model,dataset,condition,n_samples,accuracy,precision,recall,f1,roc_auc,attack_success
RoBERTa-base,HC3-Clean,balanced,11820,0.9942,0.9832,0.9995,0.9913,0.9999,
BERT-base,HC3-Clean,balanced,11820,0.9895,0.9697,0.9997,0.9845,0.9999,
DistilBERT,HC3-Clean,balanced,11820,0.9948,0.985,0.9995,0.9922,0.9999,
Hello-SimpleAI,HC3-Clean,balanced,11820,0.9953,0.9882,0.9977,0.9929,0.9997,
LogisticRegression,HC3-Clean,balanced,11820,0.9689,0.9689,0.9364,0.9524,0.9961,
RoBERTa-base,Pegasus-Attack,ai_only,500,,,0.988,,,0.012
BERT-base,Pegasus-Attack,ai_only,500,,,0.982,,,0.018
DistilBERT,Pegasus-Attack,ai_only,500,,,0.948,,,0.052
Hello-SimpleAI,Pegasus-Attack,ai_only,500,,,0.996,,,0.004
LogisticRegression,Pegasus-Attack,ai_only,500,,,0.71,,,0.29
RoBERTa-base,QuillBot-Attack,ai_only,500,,,0.866,,,0.134
BERT-base,QuillBot-Attack,ai_only,500,,,0.878,,,0.122
DistilBERT,QuillBot-Attack,ai_only,500,,,0.81,,,0.19
Hello-SimpleAI,QuillBot-Attack,ai_only,500,,,0.86,,,0.14
LogisticRegression,QuillBot-Attack,ai_only,500,,,0.732,,,0.268
RoBERTa-base,ChatGPT-Attack,ai_only,500,,,0.984,,,0.016
BERT-base,ChatGPT-Attack,ai_only,500,,,0.968,,,0.032
DistilBERT,ChatGPT-Attack,ai_only,500,,,0.932,,,0.068
Hello-SimpleAI,ChatGPT-Attack,ai_only,500,,,0.972,,,0.028
LogisticRegression,ChatGPT-Attack,ai_only,500,,,0.606,,,0.394
RoBERTa-base,Cross-Dataset,balanced,2000,0.77,0.8543,0.651,0.7389,0.8548,
BERT-base,Cross-Dataset,balanced,2000,0.7045,0.9287,0.443,0.5999,0.8966,
DistilBERT,Cross-Dataset,balanced,2000,0.6325,0.9522,0.279,0.4316,0.8188,
Hello-SimpleAI,Cross-Dataset,balanced,2000,0.675,0.9108,0.388,0.5442,0.8511,
LogisticRegression,Cross-Dataset,balanced,2000,0.5525,0.6513,0.226,0.3356,0.7104,
H3-SoftVoting,HC3-Clean,balanced,11820,0.9943,0.9835,0.9997,0.9916,1.0,
H3-SoftVoting,Pegasus-Attack,ai_only,500,,,0.982,,,0.018
H3-SoftVoting,QuillBot-Attack,ai_only,500,,,0.88,,,0.12
H3-SoftVoting,ChatGPT-Attack,ai_only,500,,,0.968,,,0.032
H3-SoftVoting,Cross-Dataset,balanced,2000,0.6975,0.9399,0.422,0.5825,0.8824,
H4-FeatureFusion,HC3-Clean,balanced,11820,0.9953,0.9872,0.9987,0.9929,0.9996,
H4-FeatureFusion,Pegasus-Attack,ai_only,500,,,0.982,,,0.018
H4-FeatureFusion,QuillBot-Attack,ai_only,500,,,0.84,,,0.16
H4-FeatureFusion,ChatGPT-Attack,ai_only,500,,,0.972,,,0.028
H4-FeatureFusion,Cross-Dataset,balanced,2000,0.691,0.8775,0.444,0.5896,0.7861,
H1-RoBERTa+BiLSTM,HC3-Clean,balanced,11820,0.994,0.9832,0.999,0.991,0.9999,
H1-RoBERTa+BiLSTM,Pegasus-Attack,ai_only,500,,,0.986,,,0.014
H1-RoBERTa+BiLSTM,QuillBot-Attack,ai_only,500,,,0.952,,,0.048
H1-RoBERTa+BiLSTM,ChatGPT-Attack,ai_only,500,,,0.978,,,0.022
H1-RoBERTa+BiLSTM,Cross-Dataset,balanced,2000,0.738,0.7888,0.65,0.7127,0.8167,
H2-BERT+TextCNN,HC3-Clean,balanced,11820,0.9791,0.942,0.9987,0.9695,0.9997,
H2-BERT+TextCNN,Pegasus-Attack,ai_only,500,,,0.958,,,0.042
H2-BERT+TextCNN,QuillBot-Attack,ai_only,500,,,0.904,,,0.096
H2-BERT+TextCNN,ChatGPT-Attack,ai_only,500,,,0.962,,,0.038
H2-BERT+TextCNN,Cross-Dataset,balanced,2000,0.682,0.825,0.462,0.5923,0.8211,
