step,train_loss
50,0.6535
100,0.4826
150,0.1481
200,0.0552
250,0.0247
300,0.0305
350,0.0258
400,0.0212
450,0.0292
500,0.0278
550,0.0187
600,0.0369
650,0.0229
700,0.0084
750,0.0083
800,0.0133
850,0.015
900,0.0199
950,0.0032
1000,0.0199
1050,0.0039
1100,0.0046
1150,0.0044
1200,0.0252
1250,0.0116
1300,0.014
1350,0.009
1400,0.0069
1450,0.0101
1500,0.0117
1550,0.0003
1600,0.0028
1650,0.0097
1700,0.0001
1750,0.0004
1800,0.0003
1850,0.0
1900,0.0103
1950,0.0062
2000,0.0001
2050,0.0068
2100,0.0032
2150,0.0023
2200,0.0206
2250,0.0045
2300,0.009
2350,0.0001
2400,0.0012
2450,0.0082
2500,0.0087
2550,0.0009
2600,0.0057
2650,0.0093
2700,0.0153
2750,0.0013
2800,0.0041
2850,0.0009
2900,0.0002
2950,0.0009
3000,0.0097
3050,0.001
3100,0.0101
3150,0.0015
3200,0.0029
3250,0.0012
3300,0.0028
3350,0.0046
3400,0.0
3450,0.0006
3500,0.0
3550,0.0
3600,0.0
3650,0.0051
3700,0.0
3750,0.0
3800,0.0046
3850,0.0
3900,0.0003
3950,0.0
4000,0.0044
4050,0.0001
4100,0.0
4150,0.0
4200,0.0
4250,0.0
4300,0.0
4350,0.0
4400,0.0
4450,0.0
4500,0.0
4550,0.0
4600,0.0005
4650,0.0024
4700,0.0
4750,0.0
4800,0.0
4850,0.0005
4900,0.0
4950,0.0047
5000,0.004
5050,0.0
5100,0.0
5150,0.0
